ItemCode,ItemCatX
TYYX,Beef
ZYX8,Cheese
ZYX9,Cheese
ZYZY,Cheese
ZYZX,Cheese
XC5X,Chicken
XC6X,Chicken
XC6Z,Chicken
DX8X,Purée
DX8Z,Purée
MTY7,Minced & Moist
MTY8,Minced & Moist
TZYY,Chicken
XYTY,Chicken
XYC9,Chicken
XCZX,Soups & Light Chicken
GCX67,Pork
GCX8Z,Pork
GCX8C,Pork
GCX87,Milk
GCZX5,Pork
GCZZY,Pork
GCZZ5,Pork
GCZCX,Pork
GCZCZ,Pork
GCX56,Pork
GCX58,Pork
GCX59,Pork
GCX6Y,Pork
GCX6X,Pork
GCX5C,Pork
GCX5T,Pork
GCX55,Pork
GCX6Z,Pork
GCX6C,Pork
GCX6T,Pork
GCX65,Pork
GCX66,Pork
GCXC8,Pork
GCXC9,Pork
GCXCX,Pork
GCXCZ,Pork
GCXCC,Milk
GCXCT,Pork
GCXC5,Pork
GCXZ7,Pork
GCXZZ,Pork
GCXZC,Pork
GCXZT,Pork
TYYZ,Soups & Light Chicken
TYYC,Chicken
GCX57,Pork
GCXZ5,Pork
GCXZ6,Pork
GCXX9,Pork
GCXZY,Pork
GCXZX,Pork
GCXY7,Pork
GCXY8,Pork
GCXY9,Milk
GCXXY,Milk
GCXXX,Pork
GCY97,Pork
GCY98,Pork
GCY99,Pork
GCXYY,Pork
GCXYX,Pork
GCY76,Pork
GCY77,Pork
GCY78,Pork
GCY79,Pork
GCY8Y,Pork
GCX7C,Pork
GCY6Y,Pork
GCYCZ,Pork
GCYCC,Pork
GCYCT,Pork
GCYC5,Pork
GCYC6,Pork
GCYC7,Milk
GCY55,Pork
GCX79,Pork
GCX9T,Pork
GCX95,Pork
GCX96,Pork
GCX97,Pork
GCX98,Pork
GCX99,Pork
GCZYY,Milk
GCZYX,Pork
GCZYZ,Pork
GCZYC,Pork
GCYYX,Pork
GCZCC,Pork
GCXT7,Milk
GCXT8,Milk
XYZT,Sides
ZYZ6,Cheese
EYZ,Other
XYZ8,Sides
GCXXC,Pork
GCXXT,Pork
GCXX5,Pork
GCXX6,Pork
GCXYZ,Pork
GCXYC,Pork
GCXYT,Pork
GCXY5,Pork
GCXY6,Pork
GCYCX,Pork
GCY5X,Pork
GCY56,Pork
GCY57,Milk
GCY58,Milk
GCY59,Pork
G8Z8,Pork
G8Z9,Pork
G879,Pork
XXYC,Cheese
XZZX,Pork
XZ67,Pork
ZYCX,Cheese
XYTX,Chicken
XC6C,Chicken
XC6T,Chicken
XC65,Chicken
ZYYC,Cheese
ZYZZ,Cheese
ZYZC,Cheese
ZYZT,Cheese
GCXC6,Pork
GCXC7,Pork
GCXTY,Pork
GCXTX,Pork
GCXTZ,Pork
GCYC8,Pork
GCYTY,Pork
XYY9,Chicken
XYXY,Chicken
XYXX,Chicken
XYXZ,Chicken
XYXT,Chicken
XYX5,Chicken
XYX6,Chicken
XYZ5,Chicken
XYZ6,Chicken
XYZ7,Sides
XYZ9,Chicken
XYCY,Soups & Light Chicken
XYCX,Soups & Light Chicken
XXC8,Chicken
XCYY,Chicken
XCYX,Chicken
XCYZ,Chicken
XCYC,Chicken
XCYT,Chicken
XCY5,Chicken
XCY7,Chicken
XCY8,Chicken
XCY9,Chicken
XCXY,Chicken
XCXX,Chicken
XCXZ,Chicken
XCXC,Chicken
XCXT,Chicken
XCX5,Chicken
XCX7,Chicken
XCZC,Chicken
XCZ6,Chicken
GCX5X,Milk
GCX5Z,Pork
GCYYZ,Pork
GCYYC,Pork
GCYYT,Pork
GCYY5,Pork
GCYY7,Milk
GCYY8,Milk
GCYY9,Pork
GCYXY,Pork
GCYXX,Pork
GCYX5,Pork
GCYX6,Pork
GCYX7,Pork
GCYX8,Pork
GCYX9,Pork
GCYZY,Pork
GCYZX,Pork
GCYZZ,Pork
GCYZC,Pork
GCYZT,Pork
XC68,Chicken
X878,Chicken
ZYY5,Cheese
ZYY6,Cheese
ZYY8,Cheese
ZYY9,Cheese
ZYXX,Cheese
ZYXZ,Cheese
CY5,Chicken
TXT,Sides
TX7,Chicken
DXYY,Purée
DXYX,Purée
DXYZ,Purée
DXYC,Purée
DXYT,Purée
DXY5,Purée
DXY6,Purée
DXY7,Purée
DXY9,Purée
DXXY,Purée
DXXX,Purée
DXXZ,Purée
DXXC,Purée
DXXT,Purée
DXX5,Purée
GCXZ8,Pork
GCXZ9,Pork
GCXCY,Pork
GCY8X,Pork
GCY8Z,Pork
GCY8C,Pork
GCY86,Pork
GCY88,Milk
GCYTX,Pork
GCYTZ,Pork
GCYTT,Pork
GCYT5,Pork
DXX6,Purée
DXX7,Purée
DXX8,Purée
DXZY,Purée
DXZX,Purée
DXZC,Purée
DXZT,Purée
DXZ5,Purée
DXZ6,Purée
DXZ7,Purée
DXZ9,Purée
DXCY,Purée
DXCZ,Purée
DXCC,Purée
DXCT,Purée
DXC5,Purée
DXC6,Purée
DXC8,Purée
DXC9,Purée
DXTY,Purée
DXTX,Purée
DXTZ,Purée
DXTC,Purée
DXTT,Purée
DXT6,Purée
DXT8,Purée
DXT9,Purée
DX5Y,Purée
DX5X,Purée
DX5C,Purée
DX69,Purée
DX7Y,Purée
DX7X,Purée
GCXX7,Pork
GCXX8,Pork
GCXXZ,Pork
GCY7Z,Pork
GCY7C,Pork
GCY7T,Pork
GCY75,Pork
GCXTC,Pork
GCXTT,Milk
GCXT5,Milk
GCXT6,Pork
GCXT9,Milk
GCX5Y,Pork
GCX68,Pork
GCX69,Pork
GCX7Y,Milk
GCX7X,Pork
GCX7Z,Pork
GCX75,Pork
GCX76,Pork
GCX77,Pork
GCX78,Pork
GCY6X,Pork
GCY6Z,Pork
GCY6C,Pork
GCY6T,Pork
GCY65,Pork
GCY66,Pork
GCY67,Pork
GCY68,Pork
GCY69,Pork
GCY7Y,Pork
GCY7X,Pork
GCYT6,Pork
GCYT7,Pork
GCY5Y,Pork
GCY5Z,Pork
GCY5T,Pork
GCYZ5,Pork
GCYZ6,Pork
GCYZ7,Pork
GCYZ8,Pork
GCYCY,Pork
DX7Z,Purée
DX7C,Purée
DX7T,Purée
DX75,Purée
DX77,Purée
GCY9Y,Pork
GCY9X,Pork
GCY9T,Pork
GCY95,Pork
GCY96,Pork
GCX8Y,Pork
GCX8X,Pork
GCX8T,Pork
GCX85,Pork
GCX86,Milk
GCX88,Milk
GCX89,Pork
GCX9Y,Pork
GCX9X,Pork
GCX9Z,Pork
GCX9C,Pork
GCZYT,Pork
GCZY5,Pork
GCZY7,Pork
GCZY8,Pork
GCZY9,Pork
GCZXY,Pork
GCZXX,Pork
GCZXZ,Pork
GCZXC,Pork
GCZXT,Pork
GCZX7,Pork
GCZX8,Pork
GCZX9,Pork
GCZZX,Pork
GCZZC,Pork
GCZZT,Pork
GCZZ6,Pork
GCZZ7,Pork
GCZZ8,Pork
GCZZ9,Pork
GCZCY,Pork
5Z5,Sides
DX78,Purée
DX79,Purée
FXYY,Soft & Bite-Sized
FXYX,Soft & Bite-Sized
FXYZ,Soft & Bite-Sized
FXYC,Soft & Bite-Sized
FXYT,Soft & Bite-Sized
FXY6,Soft & Bite-Sized
XYTZ,Soups & Light Chicken
XYTC,Chicken
XYTT,Chicken
XYT5,Chicken
XC6Y,Chicken
XC66,Chicken
XC67,Chicken
XXZX,Cheese
GCZCT,Pork
XZ68,Pork
XZ7C,Pork
XZ79,Pork
XZ8Z,Pork
XZ8C,Pork
XZ8T,Pork
FXY5,Soft & Bite-Sized
FXY7,Soft & Bite-Sized
FXY8,Soft & Bite-Sized
FXXY,Soft & Bite-Sized
FXXX,Soft & Bite-Sized
FXXZ,Soft & Bite-Sized
FXXT,Soft & Bite-Sized
GXZ88,Beef
GXZ9Y,Beef
GXZ9X,Beef
GXZ9Z,Soups & Light Chicken
MTYY,Minced & Moist
MTYX,Minced & Moist
MTYZ,Minced & Moist
MTYC,Minced & Moist
MTYT,Minced & Moist
MTY5,Minced & Moist
MTY6,Minced & Moist
XCZ7,Chicken
XCZ8,Sides
XCZ9,Sides
XCCY,Chicken
XCCX,Chicken
XCCZ,Chicken
XCCC,Chicken
XCCT,Chicken
XCC5,Chicken
XCC6,Chicken
XCC7,Chicken
XCC8,Chicken
XCC9,Chicken
XCTY,Chicken
XCTX,Chicken
XCTZ,Chicken
XCTC,Soups & Light Chicken
XCTT,Sides
XCT5,Soups & Light Chicken
XCT6,Soups & Light Chicken
XCT8,Chicken
XC5Y,Chicken
XC5T,Chicken
XC55,Chicken
XC56,Chicken
X5ZX,Chicken
X87C,Chicken
X87T,Chicken
Z85,Chicken
Z9X,Chicken
CY9,Chicken
CXY,Chicken
CXX,Chicken
CXZ,Chicken
CXT,Chicken
CX7,Chicken
TZC,Chicken
TZT,Chicken
T66,Chicken
579,Chicken
8TX,Chicken
85Y,Beef
85C,Chicken
86Y,Cheese
875,Chicken
879,Chicken
88Z,Chicken
88C,Chicken
88T,Chicken
887,Chicken
889,Chicken
895,Chicken
897,Sides
9Z9,Chicken
9TC,Chicken
9TT,Chicken
966,Cheese
97Y,Cheese
975,Beef
98C,Chicken
98T,Cheese
985,Chicken
988,Soups & Light Chicken
99X,Chicken
99C,Soups & Light Chicken
XYY6,Chicken
XYX7,Chicken
XCX6,Chicken
X95,Chicken
X98,Chicken
ZZY,Chicken
ZZ6,Chicken
Z95,Chicken
CX8,Chicken
CC6,Chicken
CC8,Chicken
CC9,Chicken
TX9,Chicken
TZX,Chicken
T7Z,Sides
T7T,Chicken
T77,Chicken
T89,Chicken
T9X,Cheese
T9Z,Cheese
T9T,Cheese
T99,Soups & Light Chicken
5YY,Soups & Light Chicken
5YZ,Chicken
5XX,Cheese
5ZC,Chicken
5ZT,Chicken
5Z8,Chicken
5CY,Chicken
5CC,Soups & Light Chicken
5CT,Beef
5C7,Cheese
557,Sides
56Y,Sides
56C,Beef
577,Chicken
58Z,Cheese
587,Cheese
588,Soups & Light Chicken
589,Cheese
59Z,Chicken
59C,Chicken
596,Chicken
6Y5,Beef
6Y7,Beef
6Y8,Cheese
6Y9,Cheese
6XT,Beef
6X5,Cheese
6X6,Chicken
6ZY,Cheese
6ZT,Cheese
6Z5,Cheese
6Z6,Cheese
6Z7,Cheese
6CZ,Cheese
6CC,Cheese
6CT,Cheese
6C5,Cheese
6C8,Cheese
6TY,Soups & Light Chicken
6T5,Chicken
65Z,Chicken
657,Chicken
658,Chicken
659,Chicken
66Y,Chicken
66C,Chicken
667,Chicken
668,Chicken
68T,Chicken
7YX,Cheese
7YZ,Cheese
7YT,Cheese
7CZ,Cheese
7TZ,Cheese
75C,Cheese
75T,Cheese
769,Cheese
77X,Cheese
8Y7,Sides
8X7,Cheese
8X8,Cheese
8X9,Cheese
8ZZ,Cheese
8ZC,Cheese
8ZT,Cheese
8Z6,Cheese
8CY,Cheese
8CZ,Chicken
8CC,Chicken
8TZ,Chicken
8T9,Chicken
85X,Chicken
858,Chicken
859,Cheese
9TZ,Chicken
9T5,Chicken
DXX9,Purée
XZ85,Pork
XZ88,Pork
XZ89,Pork
XYT9,Chicken
XY5Y,Chicken
XY5X,Chicken
XC7C,Chicken
XC7T,Chicken
XC75,Chicken
XC76,Chicken
XYYY,Chicken
XYYX,Chicken
XYYZ,Chicken
XYYC,Chicken
XYYT,Chicken
XYY5,Chicken
XYY7,Chicken
XYY8,Chicken
XYXC,Chicken
XYX8,Chicken
XY8,Chicken
XXZ,Beef
XX5,Chicken
XC5,Chicken
XC6,Chicken
XC9,Chicken
XTY,Chicken
XTT,Chicken
X59,Cheese
X6Y,Cheese
X66,Chicken
X67,Chicken
X68,Chicken
X7C,Chicken
X75,Chicken
X79,Chicken
X86,Soups & Light Chicken
X9Y,Chicken
X9X,Chicken
X96,Chicken
X99,Cheese
ZYY,Cheese
ZY8,Chicken
ZXX,Chicken
ZXC,Soups & Light Chicken
ZX5,Chicken
ZX8,Chicken
ZZX,Chicken
ZZT,Chicken
ZZ7,Soups & Light Chicken
ZC8,Cheese
ZC9,Cheese
ZTY,Chicken
ZTX,Soups & Light Chicken
Z5Y,Chicken
Z5X,Beef
Z5Z,Chicken
Z56,Chicken
Z57,Chicken
Z58,Chicken
Z59,Chicken
Z6Y,Chicken
Z6C,Cheese
Z66,Chicken
Z76,Chicken
Z8X,Chicken
Z8Z,Chicken
Z8T,Chicken
Z86,Chicken
Z87,Chicken
Z88,Chicken
Z9T,Sides
CYC,Chicken
CYT,Chicken
CY6,Chicken
CZ5,Chicken
CZ7,Chicken
CZ9,Chicken
CCZ,Chicken
CC5,Chicken
CTX,Chicken
CTT,Chicken
C5X,Chicken
C5Z,Chicken
C66,Beef
C87,Chicken
C9Z,Chicken
C95,Sides
TYY,Sides
TY5,Chicken
TY7,Chicken
TY9,Cheese
TXY,Cheese
TXC,Cheese
TX5,Chicken
TX6,Chicken
T98,Chicken
5XY,Chicken
58X,Chicken
7XZ,Cheese
8T8,Chicken
89C,Chicken
9T7,Chicken
DXY8,Purée
XYCZ,Chicken
EXX,Other
EXZ,Other
EXC,Other
EXT,Other
EX5,Other
EX6,Other
EX7,Other
EX8,Other
EYT,Other
XYCC,Chicken
XYC6,Sides
XC57,Chicken
XC58,Chicken
ZYCY,Cheese
XXX6,Sides
ZYZ7,Cheese
EYC,Other
EY5,Other
EY6,Other
EY7,Other
EY8,Other
ZYX5,Cheese
ZYZ8,Cheese
ZYZ9,Cheese
EY9,Other
EXY,Other
ZYZ5,Cheese
XXX9,Cheese
EX9,Other
EZY,Other
EZX,Other
EZZ,Other
EZC,Other
XYT6,Other
XYT8,Soups & Light Chicken
XYT7,Other
XC69,Other
XC7Z,Other
XC7X,Other
XXYT,Pork
EYX,Other
